type,x,y
route,-41.74,-30.44
route,-41.72,-32.44
route,-41.71,-34.44
route,-41.69,-36.44
route,-41.68,-38.44
route,-41.66,-40.44
route,-41.65,-42.44
route,-41.61,-44.33
route,-41.38,-46.11
route,-40.95,-47.86
route,-40.32,-49.54
route,-39.50,-51.13
route,-38.50,-52.62
route,-37.32,-54.03
route,-36.05,-55.21
route,-34.62,-56.20
route,-33.06,-56.96
route,-31.40,-57.48
route,-29.68,-57.75
route,-27.85,-57.78
route,-25.85,-57.76
route,-23.85,-57.74
route,-21.85,-57.72
route,-19.85,-57.70
route,-17.85,-57.68
route,-15.85,-57.66
route,-13.85,-57.64
route,-11.85,-57.62
route,-9.85,-57.60
route,-7.85,-57.58
route,-5.85,-57.56
route,-3.85,-57.53
route,-1.87,-57.51
route,0.12,-57.48
route,2.12,-57.44
route,4.15,-57.42
route,6.19,-57.40
route,8.21,-57.40
route,10.21,-57.40
route,12.21,-57.40
route,14.21,-57.40
route,16.21,-57.40
route,18.21,-57.40
route,20.21,-57.41
route,22.21,-57.41
route,24.21,-57.41
route,26.21,-57.41
route,28.21,-57.41
route,30.21,-57.41
route,32.21,-57.41
route,34.21,-57.41
route,36.21,-57.41
route,38.21,-57.41
route,40.21,-57.41
route,42.21,-57.41
route,44.21,-57.42
route,46.21,-57.42
route,48.21,-57.42
route,50.21,-57.42
route,52.21,-57.42
route,54.21,-57.42
route,56.21,-57.42
route,58.21,-57.42
route,60.21,-57.42
route,62.21,-57.42
route,64.21,-57.42
route,66.09,-57.42
route,67.82,-57.33
route,69.55,-57.16
route,71.26,-56.90
route,72.96,-56.56
route,74.64,-56.13
route,76.29,-55.61
route,77.92,-55.02
route,79.51,-54.34
route,81.07,-53.58
route,82.59,-52.74
route,84.06,-51.82
route,85.49,-50.84
route,86.86,-49.78
route,88.18,-48.65
route,89.44,-47.46
route,90.63,-46.21
route,91.76,-44.89
route,92.83,-43.52
route,93.82,-42.10
route,94.74,-40.63
route,95.58,-39.12
route,96.35,-37.56
route,97.03,-35.97
route,97.64,-34.35
route,98.16,-32.69
route,98.59,-31.01
route,98.94,-29.32
route,99.21,-27.60
route,99.38,-25.88
route,99.47,-24.15
route,99.47,-22.36
route,99.45,-20.33
route,99.44,-18.30
route,99.44,-16.27
route,99.45,-14.28
route,99.45,-12.30
route,99.44,-10.32
route,99.42,-8.32
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.44
ego,-41.74,-30.45
ego,-41.74,-30.50
ego,-41.74,-30.58
ego,-41.74,-30.69
ego,-41.74,-30.81
ego,-41.74,-30.95
ego,-41.74,-31.10
ego,-41.73,-31.26
ego,-41.73,-31.44
ego,-41.73,-31.63
ego,-41.73,-31.84
ego,-41.73,-32.04
ego,-41.73,-32.26
ego,-41.72,-32.48
ego,-41.72,-32.70
ego,-41.72,-32.93
ego,-41.72,-33.16
ego,-41.72,-33.40
ego,-41.71,-33.63
ego,-41.70,-33.87
ego,-41.69,-34.10
ego,-41.68,-34.33
ego,-41.68,-34.56
ego,-41.67,-34.78
ego,-41.67,-34.99
ego,-41.67,-35.19
ego,-41.66,-35.39
ego,-41.66,-35.59
ego,-41.66,-35.77
ego,-41.65,-35.96
ego,-41.65,-36.13
ego,-41.65,-36.30
ego,-41.65,-36.46
ego,-41.64,-36.62
ego,-41.64,-36.77
ego,-41.63,-36.91
ego,-41.63,-37.05
ego,-41.63,-37.18
ego,-41.63,-37.31
ego,-41.63,-37.42
ego,-41.63,-37.53
ego,-41.63,-37.64
ego,-41.63,-37.74
ego,-41.63,-37.80
